bank_id,reg_id,confidence,match_method,date_lag_days,notes,issue_flags,review_status,review_round
B0110,R0110,0.8589,ML (SVD+Cosine),2.0,ML Matched,ROUNDING_DIFFERENCE,validated,1
B0153,R0153,0.6993,ML (SVD+Cosine),2.0,ML Matched,ROUNDING_DIFFERENCE|LOW_CONFIDENCE,needs_review,1
B0188,R0188,0.8873,ML (SVD+Cosine),1.0,ML Matched,ROUNDING_DIFFERENCE,validated,1
B0076,R0076,0.9579,ML (SVD+Cosine),0.0,ML Matched,OK,validated,1
B0299,R0299,0.7477,ML (SVD+Cosine),1.0,ML Matched,ROUNDING_DIFFERENCE|MEDIUM_CONFIDENCE,needs_review,1
B0176,R0176,0.8179,ML (SVD+Cosine),2.0,ML Matched,ROUNDING_DIFFERENCE|MEDIUM_CONFIDENCE,needs_review,1
B0006,R0006,0.9687,ML (SVD+Cosine),0.0,ML Matched,ROUNDING_DIFFERENCE,validated,1
B0026,R0026,1.0,ML (SVD+Cosine),0.0,ML Matched,ROUNDING_DIFFERENCE,validated,1
B0232,R0232,0.8871,ML (SVD+Cosine),1.0,ML Matched,OK,validated,1
B0164,R0164,0.852,ML (SVD+Cosine),2.0,ML Matched,OK,validated,1
B0286,R0286,0.72,ML (SVD+Cosine),4.0,ML Matched,ROUNDING_DIFFERENCE|MEDIUM_CONFIDENCE,needs_review,1
B0074,R0074,0.5406,ML (SVD+Cosine),5.0,ML Matched,ROUNDING_DIFFERENCE|LOW_CONFIDENCE,needs_review,1
B0225,R0225,0.8179,ML (SVD+Cosine),2.0,ML Matched,ROUNDING_DIFFERENCE|MEDIUM_CONFIDENCE,needs_review,1
B0195,R0195,0.79,ML (SVD+Cosine),3.0,ML Matched,ROUNDING_DIFFERENCE|MEDIUM_CONFIDENCE,needs_review,1
B0206,R0206,0.86,ML (SVD+Cosine),2.0,ML Matched,OK,validated,1
B0011,R0011,0.93,ML (SVD+Cosine),1.0,ML Matched,OK,validated,1
B0118,R0118,0.6794,ML (SVD+Cosine),1.0,ML Matched,ROUNDING_DIFFERENCE|LOW_CONFIDENCE,needs_review,1
B0064,R0064,1.0,ML (SVD+Cosine),0.0,ML Matched,OK,validated,1
B0239,R0239,0.846,ML (SVD+Cosine),1.0,ML Matched,ROUNDING_DIFFERENCE|MEDIUM_CONFIDENCE,needs_review,1
B0242,R0242,0.5942,ML (SVD+Cosine),4.0,ML Matched,ROUNDING_DIFFERENCE|LOW_CONFIDENCE,needs_review,1
B0160,R0160,0.922,ML (SVD+Cosine),1.0,ML Matched,ROUNDING_DIFFERENCE,validated,1
